CourseTitle,CourseType,CourseSummary,CourseAwardName,UcasCode,UcasPoints,YearOfEntry,ModeOfAttendance,StudyLength,HasFoundationYear,CourseSubject
Computing,Undergraduate,Learn how to code configure and integrate applications databases and systems architectures which form the pillars of modern technology in today world.,BSc (Honours),G504,112,2025/26,Full-time,3 / 4 Years,No,Computing
Computer Networks,Undergraduate,This course includes general computing skills in programming cyber security information systems management and professionalism in a technical environment.,BSc (Honours),G420,112,2025/26,Full-time,3 / 4 Years,No,Computing
Cyber Security with Forensics,Undergraduate,Prepare for a career in cyber security by designing security systems identifying evidence of cybercrimes and acting as detectives in a digital world.,BSc (Honours),F4G4,112,2025/26,Full-time,3 / 4 Years,No,Computing
Computer Science for Games,Undergraduate,Create the software powering the next generation of blockbuster games.,BSc (Honours),G611,112,2025/26,Full-time,3 / 4 Years,No,Computing
Software Engineering,Undergraduate,Gain experience in the whole software development process and prepare for a career in software engineering.,BEng (Honours),G600,112,2025/26,Full-time,3 / 4 Years,No,Computing
Computer Science,Undergraduate,Gain a solid foundation in the core areas of computer science including programming algorithms data structures and software development.,BSc (Honours),G400,112,2025/26,Full-time,3 / 4 Years,No,Computing
Computing with Foundation Year,Undergraduate,Gain a degree in computing with an initial foundation year to prepare for the course.,BSc (Honours),A020,80,2025/26,Full-time,4/5 Years,Yes,Computing
Cyber Security with Forensics with Foundation Year,Undergraduate,Gain a degree in cyber security with forensics with an initial foundation year to prepare for the course.,BSc (Honours),A023,80,2025/26,Full-time,4/5 Years,Yes,Computing
Software Engineering with Foundation Year,Undergraduate,Gain a degree in software engineering with an initial foundation year to prepare for the course.,BEng (Honours),A017,80,2025/26,Full-time,4/5 Years,Yes,Computing
Cyber Security with Foundation Year,Undergraduate,Gain a degree in cyber security with an initial foundation year to prepare for the course.,BSc (Honours),A093,80,2025/26,Full-time,4/5 Years,Yes,Computing
Information Technology with Business Studies with Foundation Year,Undergraduate,Gain a degree in information technology with business studies with an initial foundation year to prepare for the course.,BSc (Honours),A019,80,2025/26,Full-time,4/5 Years,Yes,Computing
Computer Science with Foundation Year,Undergraduate,Gain a degree in computer science with an initial foundation year to prepare for the course.,BSc (Honours),A022,80,2025/26,Full-time,4/5 Years,Yes,Computing
Computer Science for Games with Foundation Year,Undergraduate,Gain a degree in computer science for games with an initial foundation year to prepare for the course.,BSc (Honours),A092,80,2025/26,Full-time,4/5 Years,Yes,Computing
Business and Digital Technology with Foundation Year,Undergraduate,Gain a degree in business and digital communications technology with an initial foundation year to prepare for the course.,BSc (Honours),A018,80,2025/26,Full-time,4/5 Years,Yes,Computing
Computing,Postgraduate,A course enhanced by real-life project experience for non-computing graduates wanting to pursue a career in the IT industry.,MSc,NA,NA,2025/26,Part-time,3 Years,No,Computing
Computing and Informatics,Postgraduate,Conduct a period of intensive supervised study where you critically investigate and evaluate an approved topic and make an original contribution to knowledge.,MPhil,NA,NA,2025/26,Part-time,3 Years,No,Computing
Cyber Security,Postgraduate,Develop your skills and academic knowledge in the growing field of cyber security through academic teaching industry input and practical skills development.,MSc,NA,NA,2025/26,Full-time,1 Year,No,Computing
Graphic Design,Undergraduate,Develop your own creative and innovative approach to graphic design by challenging and exploring contemporary practices through a series of exciting and diverse projects.,BA (Honours),W210,112,2025/26,Full-time,3 / 4 Years,No,Art and design
Interior Architecture and Design,Undergraduate,Develop your own creative and sustainable approach to interior architecture and design by challenging and exploring contemporary practices through a series of exciting and diverse projects.,BA (Honours),W250,112,2025/26,Full-time,3 / 4 Years,No,Art and design
Jewellery Materials and Design,Undergraduate,Develop your own creative and innovative approach to jewellery design challenging and exploring contemporary practices through new technologies and craft techniques.,BA (Honours),W721,112,2025/26,Full-time,3 / 4 Years,No,Art and design
Game Design and Development,Undergraduate,Study a course with a distinctive practice-based approach to games design gaining a diverse skill set and useful experience within the field.,BA (Honours),A112,112,2025/26,Full-time,3 / 4 Years,No,Art and design
Product Design,Undergraduate,Develop a highly creative approach to producing innovative 'future-facing' products by exploring and challenging design through a series of exciting and diverse projects.,BSc (Honours),D009,112,2025/26,Full-time,3 / 4 Years,No,Art and design
Product Design,Undergraduate,Develop a creative and innovative approach to product design and service innovation by challenging and exploring contemporary practices through a series of exciting and diverse projects.,BA (Honours),W240,112,2025/26,Full-time,3 / 4 Years,No,Art and design
Digital Media Production,Undergraduate,Design and produce new media products in film animation interactive media web apps VR cross-media and games.,BA (Honours),W212,112,2025/26,Full-time,3 / 4 Years,No,Art and design